"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYT1",73.5936337088272,1.22112148535461,0.288709281626541,4.22958859678849,2.34119063650408e-05,0.00474609003638939

"SYT14",100.675676881852,1.29480430163785,0.3062983477792,4.22726505391151,2.36548961527906e-05,0.00476646157478731

"SELE",308.912395699399,1.26800991552009,0.300278942450763,4.22277334924344,2.41314458587727e-05,0.00483336965586878

"SYT11",1854.36703987506,0.698158415162136,0.16540161714853,4.22098905197034,2.43232751089401e-05,0.00484279303046986

"RP1-80N2.3",51.4232269635296,-0.741287074750373,0.176151894389916,-4.20822652698539,2.57382777819902e-05,0.00509419913331236

"RP11-172E9.2",1.63647518242926,1.51313936254623,0.359714273721225,4.2065035309633,2.59352033197951e-05,0.00510298009319898

"KCNN3",314.602235246643,0.72865471619956,0.173757680341776,4.19351084088092,2.74669943850846e-05,0.00537276897769997

"PDZD4",504.928736406319,0.891715679443342,0.212769583310768,4.19099227233488,2.77737120701782e-05,0.00540117962229878

"CACNG2",2.73341847094455,2.00107262792337,0.477790476704384,4.18818022855124,2.81200170142958e-05,0.00543691589081608

"JPX",714.532751236933,0.300376099024055,0.0719974768036389,4.17203647071245,3.01889300392299e-05,0.00578383475550529

"LINC01006",461.017013148929,-0.510599078901038,0.122401798182962,-4.17149981847335,3.02601298159415e-05,0.00578383475550529

"ST8SIA5",17.8287376572168,0.952582037761534,0.228669131596473,4.16576575557444,3.10309200929757e-05,0.00589746162607923

"GPAM",674.48325663733,0.674867762387666,0.162154084665212,4.16189184368078,3.15621841108837e-05,0.0059645395272596

"UPK2",83.1300691783958,-1.62395926689656,0.390494574507442,-4.15872427663041,3.20029915996138e-05,0.00601386553941281

"KLHL14",33.7968364616201,1.2821205914509,0.309023961284024,4.14893584990485,3.34024390216066e-05,0.00624177755773027

"EPB41L3",1720.350343708,0.692924184771508,0.167159711428882,4.14528225042021,3.39395390338821e-05,0.00630690911746846

